filepath,testclass,testname,assertion_type,line_number,assert_string
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm,assert_allclose,120,"assert numpy.allclose(top_layer_embeddings[k, :lengths[k], :].data.numpy(), expected_top_layer[k], atol=1e-06)"
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm,assert_allclose,120,"numpy.allclose(top_layer_embeddings[k, :lengths[k], :].data.numpy(), expected_top_layer[k], atol=1e-06)"
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm_can_cache_char_cnn_embeddings,assert_array_almost_equal,154,"numpy.testing.assert_array_almost_equal(no_cache['mask'].data.cpu().numpy(), cached['mask'].data.cpu().numpy())"
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm_can_cache_char_cnn_embeddings,assert_array_almost_equal,158,"numpy.testing.assert_array_almost_equal(activation_cached.data.cpu().numpy(), activation.data.cpu().numpy(), decimal=6)"
allennlp/tests/modules/elmo_test.py,TestElmo,test_elmo_4D_input,assert_array_almost_equal,247,"numpy.testing.assert_array_almost_equal(embeddings_4d['elmo_representations'][0][:, k, :, :].data.numpy(), embeddings_3d[k]['elmo_representations'][0].data.numpy())"
allennlp/tests/modules/elmo_test.py,TestElmo,test_elmo_bilm_can_handle_higher_dimensional_input_with_cache,assert_array_almost_equal,291,"numpy.testing.assert_array_almost_equal(expanded.data.cpu().numpy(), individual_dim['elmo_representations'][0].data.cpu().numpy())"
allennlp/tests/modules/elmo_test.py,TestElmoTokenRepresentation,test_elmo_token_representation,assert_allclose,362,"assert numpy.allclose(actual_embeddings[:len(tokens)], expected_embeddings, atol=1e-06)"
allennlp/tests/modules/elmo_test.py,TestElmoTokenRepresentation,test_elmo_token_representation,assert_allclose,362,"numpy.allclose(actual_embeddings[:len(tokens)], expected_embeddings, atol=1e-06)"
allennlp/tests/modules/elmo_test.py,TestElmoTokenRepresentation,test_elmo_token_representation_bos_eos,assert_allclose,374,"assert numpy.allclose(embeddings[0, correct_index, :].data.numpy(), embeddings[0, 1, :].data.numpy())"
allennlp/tests/modules/elmo_test.py,TestElmoTokenRepresentation,test_elmo_token_representation_bos_eos,assert_allclose,374,"numpy.allclose(embeddings[0, correct_index, :].data.numpy(), embeddings[0, 1, :].data.numpy())"
