filepath,testclass,testname,assertion_type,line_number,assert_string
allennlp/tests/nn/initializers_test.py,,test_block_is_orthogonal,assert_array_almost_equal,67,"numpy.testing.assert_array_almost_equal(matrix_product, numpy.eye(matrix_product.shape[-1]), 6)"
allennlp/tests/nn/util_test.py,TestNnUtil,test_sequence_cross_entropy_with_logits_smooths_labels_correctly,assert_array_almost_equal,895,"numpy.testing.assert_array_almost_equal(loss.data.numpy(), correct_loss.data.numpy())"
allennlp/tests/nn/util_test.py,TestNnUtil,test_sequence_cross_entropy_with_logits_gamma_correctly,assert_array_almost_equal,959,"numpy.testing.assert_array_almost_equal(loss.data.numpy(), correct_loss.data.numpy())"
allennlp/tests/nn/util_test.py,TestNnUtil,test_sequence_cross_entropy_with_logits_alpha_float_correctly,assert_array_almost_equal,986,"numpy.testing.assert_array_almost_equal(loss.data.numpy(), correct_loss.data.numpy())"
allennlp/tests/nn/util_test.py,TestNnUtil,test_sequence_cross_entropy_with_logits_alpha_single_float_correctly,assert_array_almost_equal,1014,"numpy.testing.assert_array_almost_equal(loss.data.numpy(), correct_loss.data.numpy())"
allennlp/tests/nn/util_test.py,TestNnUtil,test_sequence_cross_entropy_with_logits_alpha_list_correctly,assert_array_almost_equal,1036,"numpy.testing.assert_array_almost_equal(loss.data.numpy(), correct_loss.data.numpy())"
allennlp/tests/nn/beam_search_test.py,BeamSearchTest,_check_results,assert_allclose,148,"np.testing.assert_allclose(log_probs[0].numpy(), expected_log_probs, rtol=1e-06)"
allennlp/tests/nn/beam_search_test.py,BeamSearchTest,test_finished_state,assert_allclose,185,"np.testing.assert_allclose(state[key].numpy(), array)"
allennlp/tests/nn/beam_search_test.py,BeamSearchTest,test_diff_shape_state,assert_allclose,221,"np.testing.assert_allclose(state[key].numpy(), array)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_without_steps,assert_array_almost_equal,36,"np.testing.assert_array_almost_equal(param1, 1 * 0.9999 ** 2 + 5 * 0.9999 * 0.0001 + 25 * 0.0001)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_without_steps,assert_array_almost_equal,39,"np.testing.assert_array_almost_equal(param2, 1 * 0.9999 ** 2 + 10 * 0.9999 * 0.0001 + 100 * 0.0001)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_without_steps,assert_array_almost_equal,45,"np.testing.assert_array_almost_equal(param1, 25)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_without_steps,assert_array_almost_equal,46,"np.testing.assert_array_almost_equal(param2, 100)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_num_updates,assert_array_almost_equal,66,"np.testing.assert_array_almost_equal(param1, 1 * (101 / 110) * 0.9999 + 5 * (9 / 110) * 0.9999 + 25 * 0.0001)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_num_updates,assert_array_almost_equal,70,"np.testing.assert_array_almost_equal(param2, 1 * (101 / 110) * 0.9999 + 10 * (9 / 110) * 0.9999 + 100 * 0.0001)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_num_updates,assert_array_almost_equal,76,"np.testing.assert_array_almost_equal(param1, 25)"
allennlp/tests/training/moving_average_test.py,MovingAverageTest,test_exponential_moving_average_num_updates,assert_array_almost_equal,77,"np.testing.assert_array_almost_equal(param2, 100)"
allennlp/tests/common/file_utils_test.py,TestTensorCache,test_tensor_cache_upgrade,assert_allclose,478,"assert torch.allclose(cache1['foo'], torch.tensor([1, 2, 3]))"
allennlp/tests/common/file_utils_test.py,TestTensorCache,test_tensor_cache_upgrade,assert_allclose,481,"assert torch.allclose(cache1['bar'], cache2['bar'])"
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm,assert_allclose,120,"assert numpy.allclose(top_layer_embeddings[k, :lengths[k], :].data.numpy(), expected_top_layer[k], atol=1e-06)"
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm_can_cache_char_cnn_embeddings,assert_array_almost_equal,154,"numpy.testing.assert_array_almost_equal(no_cache['mask'].data.cpu().numpy(), cached['mask'].data.cpu().numpy())"
allennlp/tests/modules/elmo_test.py,TestElmoBiLm,test_elmo_bilm_can_cache_char_cnn_embeddings,assert_array_almost_equal,158,"numpy.testing.assert_array_almost_equal(activation_cached.data.cpu().numpy(), activation.data.cpu().numpy(), decimal=6)"
allennlp/tests/modules/elmo_test.py,TestElmo,test_elmo_4D_input,assert_array_almost_equal,247,"numpy.testing.assert_array_almost_equal(embeddings_4d['elmo_representations'][0][:, k, :, :].data.numpy(), embeddings_3d[k]['elmo_representations'][0].data.numpy())"
allennlp/tests/modules/elmo_test.py,TestElmo,test_elmo_bilm_can_handle_higher_dimensional_input_with_cache,assert_array_almost_equal,291,"numpy.testing.assert_array_almost_equal(expanded.data.cpu().numpy(), individual_dim['elmo_representations'][0].data.cpu().numpy())"
allennlp/tests/modules/elmo_test.py,TestElmoTokenRepresentation,test_elmo_token_representation,assert_allclose,362,"assert numpy.allclose(actual_embeddings[:len(tokens)], expected_embeddings, atol=1e-06)"
allennlp/tests/modules/elmo_test.py,TestElmoTokenRepresentation,test_elmo_token_representation_bos_eos,assert_allclose,374,"assert numpy.allclose(embeddings[0, correct_index, :].data.numpy(), embeddings[0, 1, :].data.numpy())"
allennlp/tests/modules/augmented_lstm_test.py,TestAugmentedLSTM,test_augmented_lstm_computes_same_function_as_pytorch_lstm,assert_array_almost_equal,87,"numpy.testing.assert_array_almost_equal(pytorch_output_sequence.data.numpy(), augmented_output_sequence.data.numpy(), decimal=4)"
allennlp/tests/modules/augmented_lstm_test.py,TestAugmentedLSTM,test_augmented_lstm_computes_same_function_as_pytorch_lstm,assert_array_almost_equal,90,"numpy.testing.assert_array_almost_equal(pytorch_state[0].data.numpy(), augmented_state[0].data.numpy(), decimal=4)"
allennlp/tests/modules/augmented_lstm_test.py,TestAugmentedLSTM,test_augmented_lstm_computes_same_function_as_pytorch_lstm,assert_array_almost_equal,93,"numpy.testing.assert_array_almost_equal(pytorch_state[1].data.numpy(), augmented_state[1].data.numpy(), decimal=4)"
allennlp/tests/modules/augmented_lstm_test.py,TestAugmentedLSTM,test_dropout_version_is_different_to_no_dropout,assert_array_almost_equal,175,"numpy.testing.assert_array_almost_equal(dropped_output_sequence.data.numpy(), augmented_output_sequence.data.numpy(), decimal=4)"
allennlp/tests/modules/augmented_lstm_test.py,TestAugmentedLSTM,test_dropout_version_is_different_to_no_dropout,assert_array_almost_equal,181,"numpy.testing.assert_array_almost_equal(dropped_state[0].data.numpy(), augmented_state[0].data.numpy(), decimal=4)"
allennlp/tests/modules/augmented_lstm_test.py,TestAugmentedLSTM,test_dropout_version_is_different_to_no_dropout,assert_array_almost_equal,185,"numpy.testing.assert_array_almost_equal(dropped_state[1].data.numpy(), augmented_state[1].data.numpy(), decimal=4)"
allennlp/tests/modules/stacked_bidirectional_lstm_test.py,TestStackedBidirectionalLstm,test_stacked_bidirectional_lstm_dropout_version_is_different,assert_array_almost_equal,112,"numpy.testing.assert_array_almost_equal(dropped_output_sequence.data.numpy(), stacked_output_sequence.data.numpy(), decimal=4)"
allennlp/tests/modules/stacked_bidirectional_lstm_test.py,TestStackedBidirectionalLstm,test_stacked_bidirectional_lstm_dropout_version_is_different,assert_array_almost_equal,119,"numpy.testing.assert_array_almost_equal(dropped_state[0].data.numpy(), stacked_state[0].data.numpy(), decimal=4)"
allennlp/tests/modules/stacked_bidirectional_lstm_test.py,TestStackedBidirectionalLstm,test_stacked_bidirectional_lstm_dropout_version_is_different,assert_array_almost_equal,123,"numpy.testing.assert_array_almost_equal(dropped_state[1].data.numpy(), stacked_state[1].data.numpy(), decimal=4)"
allennlp/tests/modules/masked_layer_norm_test.py,TestMaskedLayerNorm,test_masked_layer_norm,assert_allclose,28,"assert np.allclose(normed_x.data.numpy(), expected)"
allennlp/tests/modules/lstm_cell_with_projection_test.py,TestLstmCellWithProjection,test_elmo_lstm_cell_completes_forward_pass,assert_array_less,33,"numpy.testing.assert_array_less(output_sequence.data.numpy(), 1.0)"
allennlp/tests/modules/lstm_cell_with_projection_test.py,TestLstmCellWithProjection,test_elmo_lstm_cell_completes_forward_pass,assert_array_less,34,"numpy.testing.assert_array_less(-output_sequence.data.numpy(), 1.0)"
allennlp/tests/modules/lstm_cell_with_projection_test.py,TestLstmCellWithProjection,test_elmo_lstm_cell_completes_forward_pass,assert_array_less,42,"numpy.testing.assert_array_less(lstm_state[0].data.numpy(), 2.0)"
allennlp/tests/modules/lstm_cell_with_projection_test.py,TestLstmCellWithProjection,test_elmo_lstm_cell_completes_forward_pass,assert_array_less,43,"numpy.testing.assert_array_less(-lstm_state[0].data.numpy(), 2.0)"
allennlp/tests/modules/seq2seq_encoders/pass_through_encoder_test.py,TestPassThroughEncoder,test_pass_through_encoder_passes_through,assert_array_almost_equal,18,"numpy.testing.assert_array_almost_equal(tensor.detach().cpu().numpy(), output.detach().cpu().numpy())"
allennlp/tests/modules/seq2seq_encoders/pass_through_encoder_test.py,TestPassThroughEncoder,test_pass_through_encoder_with_mask,assert_array_almost_equal,29,"numpy.testing.assert_array_almost_equal(output.detach().cpu().numpy(), target.detach().cpu().numpy())"
allennlp/tests/modules/seq2seq_encoders/feedforward_encoder_test.py,TestFeedforwardEncoder,test_feedforward_encoder_exactly_match_feedforward_each_item,assert_array_almost_equal,27,"numpy.testing.assert_array_almost_equal(target.detach().cpu().numpy(), output.detach().cpu().numpy())"
allennlp/tests/modules/seq2seq_encoders/feedforward_encoder_test.py,TestFeedforwardEncoder,test_feedforward_encoder_exactly_match_feedforward_each_item,assert_array_almost_equal,35,"numpy.testing.assert_array_almost_equal(target.detach().cpu().numpy(), output.detach().cpu().numpy())"
allennlp/tests/modules/seq2seq_encoders/pytorch_transformer_wrapper_test.py,,test_positional_encodings,assert_allclose,65,"assert torch.allclose(torch.gather(unshuffled_output, 1, shuffle), shuffled_output, atol=2e-05)"
allennlp/tests/modules/seq2seq_encoders/pytorch_transformer_wrapper_test.py,,test_mask_works,assert_allclose,101,"assert torch.allclose(torch.masked_select(transformer(inputs, mask), mask.unsqueeze(2)), torch.masked_select(transformer(altered_inputs, mask), mask.unsqueeze(2)))"
allennlp/tests/modules/seq2seq_encoders/compose_encoder_test.py,TestPassThroughEncoder,test_composes,assert_array_almost_equal,57,"numpy.testing.assert_array_almost_equal(output.detach().cpu().numpy(), tensor.detach().cpu().numpy())"
allennlp/tests/modules/seq2seq_encoders/compose_encoder_test.py,TestPassThroughEncoder,test_pass_through_encoder_with_mask,assert_array_almost_equal,69,"numpy.testing.assert_array_almost_equal(output.detach().cpu().numpy(), tensor.detach().cpu().numpy())"
allennlp/tests/modules/transformer/self_attention_test.py,,test_loading_from_pretrained_weights_using_model_name,assert_allclose,94,"assert torch.allclose(output, hf_output)"
allennlp/tests/modules/transformer/transformer_embeddings_test.py,,test_forward_against_huggingface_output,assert_allclose,224,"assert torch.allclose(output, hf_output)"
allennlp/tests/modules/transformer/transformer_stack_test.py,,test_transformer_stack_from_params,assert_allclose,58,"assert torch.allclose(from_layer_output.final_hidden_states, output.final_hidden_states)"
allennlp/tests/modules/transformer/transformer_stack_test.py,,test_loading_from_pretrained,assert_allclose,105,"assert torch.allclose(output.final_hidden_states, hf_output[0])"
allennlp/tests/modules/transformer/transformer_layer_test.py,,test_attention_matches_huggingface,assert_allclose,94,"assert torch.allclose(output.hidden_states, hf_output[0])"
allennlp/tests/modules/transformer/transformer_layer_test.py,,test_attention_from_pretrained,assert_allclose,138,"assert torch.allclose(output, hf_output, atol=0.0001)"
allennlp/tests/modules/transformer/transformer_layer_test.py,,test_layer_matches_huggingface,assert_allclose,250,"assert torch.allclose(output.hidden_states, hf_output[0])"
allennlp/tests/modules/transformer/transformer_layer_test.py,,test_layer_from_pretrained,assert_allclose,294,"assert torch.allclose(output, hf_output, atol=0.0001)"
allennlp/tests/modules/transformer/t5_self_attention_test.py,,test_forward_against_huggingface_output,assert_allclose,89,"assert torch.allclose(hs, hf_output[0])"
allennlp/tests/modules/transformer/t5_self_attention_test.py,,test_loading_from_pretrained_weights_using_model_name,assert_allclose,126,"assert torch.allclose(output, hf_output)"
allennlp/tests/modules/seq2vec_encoders/cls_pooler_test.py,TestClsPooler,test_encoder,assert_array_almost_equal,15,"numpy.testing.assert_array_almost_equal(embedding[:, 0], pooled)"
allennlp/tests/modules/seq2vec_encoders/cls_pooler_test.py,TestClsPooler,test_cls_at_end,assert_array_almost_equal,34,"numpy.testing.assert_array_almost_equal(expected, pooled)"
