filepath,testclass,testname,assertion_type,line_number,assert_string
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,testComputeAreaFeatures1D,assert_allclose,42,"self.assertAllClose((((1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (2, 3), (4, 5), (6, 7), (8, 9), (3, 4), (5, 6), (7, 8)), ((1.1, 2.1), (3.1, 4.1), (5.1, 6.1), (7.1, 8.1), (9.1, 10.1), (2.1, 3.1), (4.1, 5.1), (6.1, 7.1), (8.1, 9.1), (3.1, 4.1), (5.1, 6.1), (7.1, 8.1))), res1, msg='mean_1d')"
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,testComputeAreaFeatures1D,assert_allclose,59,"self.assertAllClose(expected_std, res2, atol=0.01, msg='std_1d')"
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,testComputeAreaFeatures1D,assert_allclose,60,"self.assertAllClose([[[1, 2], [3, 4], [5, 6], [7, 8], [9, 10], [4, 6], [8, 10], [12, 14], [16, 18], [9, 12], [15, 18], [21, 24]], [[1.1, 2.1], [3.1, 4.1], [5.1, 6.1], [7.1, 8.1], [9.1, 10.1], [4.2, 6.2], [8.2, 10.2], [12.2, 14.2], [16.2, 18.2], [9.3, 12.3], [15.3, 18.3], [21.3, 24.3]]], res3, msg='sum_1d')"
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,testComputeAreaFeatures2D,assert_allclose,112,"self.assertAllClose(expected_means, res1, msg='mean_1d')"
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,testComputeAreaFeatures2D,assert_allclose,161,"self.assertAllClose(expected_sums, res3, msg='sum_1d')"
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,testAreaMean,assert_false,194,self.assertFalse(np.any(np.logical_not(np.isfinite(result))))
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,test2DAreaMax,assert_false,227,self.assertFalse(np.any(np.logical_not(np.isfinite(result1))))
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,test2DAreaMax,assert_false,228,self.assertFalse(np.any(np.logical_not(np.isfinite(result2))))
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,test1DAreaMax,assert_false,272,self.assertFalse(np.any(np.logical_not(np.isfinite(result1))))
tensor2tensor/tensor2tensor/layers/area_attention_test.py,AreaAttentionTest,test1DAreaMax,assert_false,273,self.assertFalse(np.any(np.logical_not(np.isfinite(result2))))
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_ops_test.py,TransformerFlowOpsTest,test_dense_weightnorm,assert_true,99,"self.assertTrue(np.allclose(mean, 0.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_ops_test.py,TransformerFlowOpsTest,test_dense_weightnorm,assert_true,100,"self.assertTrue(np.allclose(var, 1.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_actnorm,assert_true,135,"self.assertTrue(np.allclose(x_mean, 0.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_actnorm,assert_true,136,"self.assertTrue(np.allclose(x_var, 1.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_actnorm_invertibility,assert_true,155,"self.assertTrue(np.allclose(diff, 0.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_actnorm_invertibility,assert_true,156,"self.assertTrue(np.allclose(logabsdet_sum, 0.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_multi_1x1_invertibility,assert_true,178,"self.assertTrue(np.allclose(diff, 0.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_multi_1x1_invertibility,assert_true,179,"self.assertTrue(np.allclose(logabsdet_, 0.0, atol=1e-05))"
tensor2tensor/tensor2tensor/layers/transformer_glow_layers_test.py,TransformerGlowLayersTest,test_multi_1x1_invertibility,assert_true,180,"self.assertTrue(np.allclose(logabsdet_sum, 0.0, atol=1e-05))"
