filepath,testclass,testname,assertion_type,line_number,assert_string
sonnet/sonnet/src/base_test.py,AutoReprTest,test_does_not_fail_with_hostile_input,assert_false,225,self.assertFalse(r.equality_checked)
sonnet/sonnet/src/base_test.py,AutoReprTest,test_does_not_fail_with_hostile_input,assert_true,228,self.assertTrue(r.equality_checked)
sonnet/sonnet/src/base_test.py,CustomMetaclassTest,testSupportsCustomMetaclass,assert_true,645,"self.assertTrue(getattr(ModuleWithCustomMetaclass, CombiningMetaclass.TAG))"
sonnet/sonnet/src/base_test.py,CustomMetaclassTest,testSupportsCustomMetaclass,assert_true,646,"self.assertTrue(getattr(ModuleWithCustomMetaclass, CustomMetaclass.TAG))"
sonnet/sonnet/src/recurrent_test.py,VanillaRNNTest,testComputationAgainstNumPy,assert_allclose,54,"self.assertAllClose(outputs, expected_output, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,VanillaRNNTest,testComputationAgainstNumPy,assert_allclose,55,"self.assertAllClose(next_state, expected_output, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,VanillaRNNTest,testInitialization,assert_allclose,77,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
sonnet/sonnet/src/recurrent_test.py,DeepRNNTest,testComputationAgainstNumPy,assert_allclose,107,"self.assertAllClose(outputs, expected_outputs)"
sonnet/sonnet/src/recurrent_test.py,DeepRNNTest,testComputationAgainstNumPy,assert_allclose,108,"self.assertAllClose(next_state, tuple(expected_next_state))"
sonnet/sonnet/src/recurrent_test.py,DeepRNNTest,testComputationAgainstNumPyWithCallables,assert_allclose,120,"self.assertAllClose(outputs, np.sign(np.tanh(inputs)))"
sonnet/sonnet/src/recurrent_test.py,DeepRNNTest,testInitialState,assert_allclose,128,"self.assertAllClose(prev_state[0], core0.initial_state(self.batch_size))"
sonnet/sonnet/src/recurrent_test.py,DeepRNNTest,testInitialState,assert_allclose,129,"self.assertAllClose(prev_state[1], core1.initial_state(self.batch_size))"
sonnet/sonnet/src/recurrent_test.py,LSTMTest,testComputationAgainstNumPy,assert_allclose,193,"self.assertAllClose(outputs, next_state.hidden, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,LSTMTest,testComputationAgainstNumPy,assert_allclose,194,"self.assertAllClose(expected_hidden, next_state.hidden, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,LSTMTest,testComputationAgainstNumPy,assert_allclose,195,"self.assertAllClose(expected_cell, next_state.cell, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,LSTMTest,testInitialization,assert_allclose,222,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
sonnet/sonnet/src/recurrent_test.py,LSTMTest,testRecurrentDropout,assert_allclose,242,"self.assertAllClose(train_output, test_output, rtol=rtol)"
sonnet/sonnet/src/recurrent_test.py,LSTMTest,testRecurrentDropout,assert_greater,244,"self.assertGreater(self.evaluate(tf.reduce_max(tf.abs(train_output - test_output))), 0.001)"
sonnet/sonnet/src/recurrent_test.py,UnrolledLSTMTest,unrolled_lstm_fn,assert_allclose,294,"self.assertAllClose(output_sequence, expected_output_sequence, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,UnrolledLSTMTest,unrolled_lstm_fn,assert_allclose,295,"self.assertAllClose(final_state.hidden, expected_final_state.hidden, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,UnrolledLSTMTest,unrolled_lstm_fn,assert_allclose,297,"self.assertAllClose(final_state.cell, expected_final_state.cell, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,UnrolledLSTMTest,testInitialization,assert_allclose,345,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
sonnet/sonnet/src/recurrent_test.py,ConvNDLSTMTest,conv,assert_allclose,399,"self.assertAllClose(outputs, next_state.hidden, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,ConvNDLSTMTest,conv,assert_allclose,400,"self.assertAllClose(expected_hidden, next_state.hidden, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,ConvNDLSTMTest,conv,assert_allclose,401,"self.assertAllClose(expected_cell, next_state.cell, atol=atol)"
sonnet/sonnet/src/recurrent_test.py,ConvNDLSTMTest,testInitialization,assert_allclose,439,"self.assertAllClose(self.evaluate(v), self.evaluate(tf.ones_like(v)))"
sonnet/sonnet/src/recurrent_test.py,GRUTest,testComputationAgainstNumPy,assert_allclose,470,"self.assertAllClose(outputs, next_state, atol=atol)"
